AngleRoll,AnglePitch,Tempo
-42.497082,29.170383,13626
-42.247536,29.282665,13678
-42.484730,29.269716,13738
-42.402519,29.281330,13763
-42.264111,29.250904,13840
-42.300610,29.319761,13870
-42.219612,29.295818,13892
-42.306156,29.434664,13916
-42.328449,29.306564,13936
-42.460407,29.341530,13990
-42.384476,29.145802,14019
-42.355965,29.217735,14041
-42.314899,29.246189,14057
-42.315075,29.351875,14075
-42.296051,29.289471,14091
-42.380165,29.303753,14125
-42.367931,29.208040,14139
-42.503773,29.219481,14169
-42.446716,29.048973,14187
-42.257244,29.164282,14205
-42.258488,29.444300,14224
-42.056164,29.283012,14241
-42.123352,29.298494,14260
-42.544102,29.219353,14284
-42.439327,29.013296,14299
-42.445072,29.098095,14326
-42.186180,29.231783,14343
-42.388664,29.378428,14373
-42.308071,29.347549,14391
-42.286610,29.311123,14409
-42.445618,29.316530,14427
-42.368031,29.036015,14445
-42.277786,29.153860,14475
-42.169445,29.331394,14493
-42.386292,29.366804,14511
-42.141777,29.262186,14532
-42.121361,29.317459,14547
-42.307564,29.248856,14577
-42.452881,29.238718,14595
-42.307606,29.324078,14613
-42.287643,29.365162,14634
-42.229382,29.222294,14666
-42.441544,29.032482,14679
-42.573296,29.050810,14697
-42.497963,29.261904,14717
-42.103889,29.273506,14733
-42.021557,29.284744,14751
-42.180492,29.267296,14781
-42.441994,29.370745,14799
-42.504314,29.047739,14817
-42.573257,28.923811,14839
-42.477287,29.084017,14852
-42.219612,29.401754,14890
-42.088284,29.458134,14900
-42.189716,29.516155,14918
-42.055923,29.334898,14941
-42.281590,29.212624,14972
-42.501835,29.080494,14983
-42.665497,29.160751,15001
-42.415398,28.996305,15019
-42.381523,29.148403,15052
-42.164902,29.301052,15075
-42.322742,29.342087,15087
-42.216335,29.305382,15102
-42.167835,29.343294,15120
-42.238586,29.358322,15144
-42.262402,29.262907,15157
-42.406689,29.168192,15186
-42.577160,29.252762,15208
-42.394676,29.058554,15221
-42.406181,29.182062,15249
-42.240593,29.384130,15281
-42.046669,29.401306,15300
-42.241096,29.459145,15316
-42.197971,29.184214,15334
-42.391476,29.068039,15364
-42.593365,28.965324,15394
-42.410042,29.233849,15412
-42.164543,29.352867,15430
-42.031155,29.413910,15452
-42.167351,29.425667,15467
-42.607052,29.138723,15520
-42.477734,28.936504,15538
-42.366619,29.078377,15568
-42.319485,29.276449,15598
-42.119144,29.322147,15616
-42.180069,29.425037,15634
-42.115906,29.301182,15671
-42.473473,29.265556,15699
-42.509983,29.056137,15712
-42.498337,29.217079,15736
-42.384682,29.056908,15773
-42.219604,29.340580,15823
-42.089508,29.422726,15844
-42.233963,29.342188,15869
-42.133900,29.211042,15880
-42.454952,29.017820,15910
-42.681503,28.993334,15932
-42.440125,29.074778,15946
-42.193295,29.311357,15976
-42.110458,29.435804,15997
-42.223427,29.497877,16019
-42.030281,29.322018,16041
-42.326275,28.996647,16067
-42.643749,29.011528,16107
-42.395168,29.208836,16134
-42.255661,29.341064,16149
-42.099140,29.370369,16169
-42.139793,29.431833,16185
-42.392498,29.354717,16215
-42.394470,29.147491,16238
-42.378735,29.226175,16251
-42.420994,29.169857,16272
-42.359303,29.080950,16286
-42.319366,29.201277,16316
-42.238476,29.372484,16334
-42.322620,29.417307,16352
-42.203819,29.209389,16373
-42.355015,29.321465,16387
-42.299892,29.258522,16406
-42.419903,29.160368,16424
-42.599064,29.124975,16442
-42.475555,29.089327,16460
-42.142014,29.210287,16490
-42.202766,29.320194,16509
-42.220325,29.432222,16527
-42.088787,29.300261,16545
-42.273384,29.394119,16579
-42.457878,29.142076,16593
-42.396004,29.225245,16623
-42.303814,29.385422,16641
-42.046356,29.281210,16659
-42.220837,29.305222,16682
-42.291851,29.327349,16715
-42.428200,29.129210,16725
-42.555153,28.901592,16743
-42.433743,29.049980,16764
-42.143040,29.144491,16785
-42.258244,29.376127,16797
-42.303650,29.272404,16834
-42.403572,29.328199,16847
-42.368446,29.381891,16886
-42.427841,29.294077,16914
-42.319008,29.328205,16942
-42.276711,29.309336,16966
-42.236691,29.174707,19679
-42.463203,29.113564,19702
-42.203430,29.216362,19716
-42.084442,29.474920,19735
-41.980942,29.373997,19755
-42.193237,29.266523,19770
-42.353695,29.161465,19801
-42.576168,29.168232,19818
-42.435863,28.985937,19836
-42.381859,29.096529,19856
-42.336399,29.357780,19872
-42.346184,29.472376,19903
-42.136539,29.366074,19921
-42.167835,29.343294,19941
-42.299309,29.279919,19958
-42.323200,29.170197,19973
-42.416210,29.101572,20007
-42.452057,29.222334,20023
-42.212856,29.209263,20043
-42.185310,29.215359,20076
-42.142651,29.429352,20120
-42.251095,29.176403,23051
-41.461636,29.914528,23074
-43.578613,28.084522,23132
-43.352882,27.987293,23167
-43.252922,28.321163,23193
-42.024521,29.498856,23221
-39.760124,31.385181,23268
-42.254959,29.385712,23293
-43.508415,27.972397,23321
-60.941532,12.473199,23382
-46.324871,33.373859,23441
-35.722157,44.077736,23485
-35.995792,41.147991,23544
-49.725704,33.065117,23587
-45.617619,39.858459,23605
-45.758270,39.195728,23632
-48.480419,41.504757,26533
-31.362108,58.033470,26562
-19.379543,69.226791,26590
2.274523,76.975555,26620
-1.050058,75.189293,26666
